MATNR,MAKTX
100-00001,Aluminum Sheet 1mm
100-00002,Steel Rod 12mm
100-00003,Copper Pipe 15mm
100-00004,Plastic Resin Grade A
100-00005,Rubber Gasket Small
100-00006,Motor Assembly 5HP
100-00007,Bearing Ball 25mm
100-00008,Hydraulic Fluid ISO 46
100-00009,Paint White Enamel
100-00010,Bolt M10x50 DIN 933
100-00011,Aluminum Profile 40x40
100-00012,Stainless Steel Tube
100-00013,Nylon Washer 25mm
100-00014,PVC Pipe Schedule 40
100-00015,Epoxy Resin 2-Part
100-00016,Ferrite Core Toroid
100-00017,Mica Sheet 0.5mm
100-00018,Silicone Sealant
100-00019,Aluminum Extrusion 20x20
100-00020,Carbon Steel Flat Bar
100-00021,Wire Rope 6mm 6x36
100-00022,Copper Sheet 1mm
100-00023,Brass Rod 10mm
100-00024,Titanium Plate Grade 2
100-00025,Nickel 200 Sheet
100-00026,Tungsten Rod 5mm
100-00027,Molybdenum Wire
100-00028,Chromium Electrodes
100-00029,Magnesium Alloy Ingot
100-00030,Aluminum Foil 0.05mm
100-00031,Glass Fiber Cloth
100-00032,Carbon Fiber Weave
100-00033,Kevlar Thread
100-00034,Polycarbonate Sheet
100-00035,PMMA Acrylic Sheet
100-00036,PET Film Roll
100-00037,Mylar Capacitor Film
100-00038,Kapton Tape
100-00039,Fiberglass Insulation
100-00040,Mineral Wool Batting
100-00041,Ceramic Tile 30x30
100-00042,Limestone Powder
100-00043,Dolomite Aggregate
100-00044,Cement Portland Type I
100-00045,Gypsum Board
100-00046,Mortar Mix Powder
100-00047,Concrete Additive
100-00048,Marble Chips 10-20mm
100-00049,Granite Aggregate
100-00050,Basalt Fiber Roving
